Matplotlib created a temporary cache directory at /var/folders/wr/3s6jwj7x0c5_0jj7bnfg14h40000gn/T/matplotlib-h7lac9vx because the default path (/Users/thaha/.matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Matplotlib is building the font cache; this may take a moment.
ONLY CPU AVAILABLE
ight
Become yo
Training file_len = 1115394

-----------
|  TRAIN  |
-----------

[0m 0s (1 0%) 4.6352 (4.6352)]
[0m 0s (2 0%) 4.5544 (4.4735)]
[0m 0s (3 1%) 4.4698 (4.3008)]
[0m 0s (3 1%) 4.4698 (4.3008)]
[0m 0s (4 1%) 4.3993 (4.1877)]
[0m 0s (5 1%) 4.3065 (3.9355)]
[0m 0s (6 2%) 4.2538 (3.9898)]
[0m 0s (6 2%) 4.2538 (3.9898)]
[0m 0s (8 2%) 4.2031 (3.3063)]
[0m 0s (9 3%) 4.1490 (3.7158)]
[0m 0s (9 3%) 4.1490 (3.7158)]
[0m 0s (10 3%) 4.0584 (3.2438)]
[0m 0s (12 4%) 4.0341 (3.6121)]
[0m 0s (12 4%) 4.0341 (3.6121)]
[0m 0s (13 4%) 3.9355 (2.7516)]
[0m 0s (15 5%) 4.0597 (4.9005)]
[0m 0s (18 6%) 4.0891 (3.9619)]
[0m 0s (21 7%) 4.0175 (4.0161)]
[0m 0s (24 8%) 3.9666 (3.8482)]
[0m 0s (25 8%) 3.9340 (3.1516)]
[0m 0s (26 8%) 3.9018 (3.0973)]
[0m 0s (27 9%) 3.8771 (3.2347)]
[0m 0s (27 9%) 3.8771 (3.2347)]
[0m 0s (28 9%) 3.8423 (2.9018)]
[0m 0s (29 9%) 3.8081 (2.8520)]
[0m 0s (30 10%) 3.7752 (2.8188)]
[0m 0s (30 10%) 3.7752 (2.8188)]
[0m 0s (31 10%) 3.7377 (2.6132)]
