Matplotlib created a temporary cache directory at /var/folders/wr/3s6jwj7x0c5_0jj7bnfg14h40000gn/T/matplotlib-35x9f4at because the default path (/Users/thaha/.matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Matplotlib is building the font cache; this may take a moment.
ONLY CPU AVAILABLE
e thee.

CLAUD
Training file_len = 1115394

-----------
|  TRAIN  |
-----------

[0m 0s (1 0%) 4.6118 (4.6118)]
[0m 0s (2 0%) 4.5603 (4.5087)]
[0m 0s (3 0%) 4.5132 (4.4191)]
[0m 0s (4 0%) 4.3883 (4.0134)]
[0m 0s (6 1%) 4.4018 (4.1859)]
[0m 0s (7 1%) 4.2474 (3.3212)]
[0m 0s (8 1%) 4.2301 (4.1092)]
[0m 0s (11 1%) 4.1991 (3.7660)]
[0m 0s (12 2%) 4.2364 (4.6470)]
[0m 0s (14 2%) 4.1510 (3.4440)]
[0m 0s (15 2%) 4.1057 (3.4716)]
[0m 0s (17 2%) 4.0912 (3.5570)]
[0m 0s (18 3%) 4.0888 (4.0477)]
[0m 0s (18 3%) 4.0888 (4.0477)]
[0m 0s (19 3%) 4.0594 (3.5307)]
[0m 0s (20 3%) 4.0336 (3.5445)]
[0m 0s (21 3%) 3.9817 (2.9428)]
[0m 0s (22 3%) 3.9627 (3.5634)]
[0m 0s (23 3%) 3.9347 (3.3182)]
[0m 0s (24 4%) 3.9093 (3.3254)]
[0m 0s (24 4%) 3.9093 (3.3254)]
[0m 0s (25 4%) 3.9069 (3.8493)]
[0m 0s (30 5%) 3.9453 (2.9672)]
[0m 0s (32 5%) 3.8984 (3.0865)]
[0m 0s (33 5%) 3.8726 (3.0473)]
[0m 0s (34 5%) 3.8678 (3.7089)]
[0m 0s (35 5%) 3.8642 (3.7426)]
[0m 0s (36 6%) 3.8400 (2.9926)]
