Matplotlib created a temporary cache directory at /var/folders/wr/3s6jwj7x0c5_0jj7bnfg14h40000gn/T/matplotlib-p2i45w2y because the default path (/Users/thaha/.matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Matplotlib is building the font cache; this may take a moment.
ONLY CPU AVAILABLE
y contraries
E
Training file_len = 1115394

-----------
|  TRAIN  |
-----------

[0m 0s (1 0%) 4.6106 (4.6106)]
[0m 0s (2 0%) 4.3288 (4.0471)]
[0m 0s (8 1%) 4.3985 (4.3376)]
[0m 0s (13 1%) 4.2400 (3.1157)]
[0m 0s (16 2%) 4.2093 (3.6093)]
[0m 0s (16 2%) 4.2093 (3.6093)]
[0m 0s (18 2%) 4.1884 (3.5751)]
[0m 0s (20 2%) 4.1763 (3.7963)]
[0m 1s (21 2%) 4.1452 (3.5215)]
[0m 1s (22 2%) 4.1227 (3.6516)]
[0m 1s (24 3%) 4.1271 (3.8965)]
[0m 1s (25 3%) 4.0698 (2.6945)]
[0m 1s (26 3%) 4.0672 (4.0018)]
[0m 1s (28 3%) 4.0320 (2.9116)]
[0m 1s (29 3%) 4.0007 (3.1241)]
[0m 1s (32 4%) 4.1243 (2.9127)]
[0m 1s (40 5%) 4.1238 (3.9857)]
[0m 2s (48 6%) 4.1018 (3.7748)]
[0m 2s (56 7%) 4.0739 (3.1776)]
[0m 2s (64 8%) 4.0597 (4.0185)]
[0m 3s (72 9%) 4.0273 (3.2948)]
[0m 3s (75 9%) 3.9990 (3.1723)]
[0m 3s (77 9%) 3.9879 (3.0358)]
[0m 3s (78 9%) 3.9855 (3.7992)]
[0m 3s (79 9%) 3.9829 (3.7780)]
[0m 3s (80 10%) 3.9818 (3.9002)]
[0m 3s (80 10%) 3.9818 (3.9002)]
[0m 3s (81 10%) 3.9742 (3.3647)]
