Matplotlib created a temporary cache directory at /var/folders/wr/3s6jwj7x0c5_0jj7bnfg14h40000gn/T/matplotlib-dawpod28 because the default path (/Users/thaha/.matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Matplotlib is building the font cache; this may take a moment.
ONLY CPU AVAILABLE
yloo3
lucylou

Training file_len = 3234143

-----------
|  TRAIN  |
-----------

[0m 0s (1 0%) 4.6231 (4.6231)]
[0m 0s (2 0%) 4.6106 (4.5981)]
[0m 0s (3 0%) 4.5450 (4.4137)]
[0m 0s (4 0%) 4.4384 (4.1187)]
[0m 0s (5 0%) 4.3421 (3.9570)]
[0m 0s (10 1%) 4.4908 (4.9144)]
[0m 0s (20 2%) 4.3423 (3.8866)]
[0m 0s (21 2%) 4.3290 (4.0620)]
[0m 0s (22 2%) 4.3178 (4.0840)]
[0m 0s (23 2%) 4.3068 (4.0642)]
[0m 0s (24 2%) 4.2983 (4.1034)]
[0m 0s (25 2%) 4.2599 (3.3383)]
[0m 0s (26 2%) 4.2532 (4.0840)]
[0m 0s (27 2%) 4.2237 (3.4575)]
[0m 0s (28 2%) 4.1940 (3.3916)]
[0m 0s (29 2%) 4.1597 (3.1989)]
[0m 0s (30 3%) 4.1529 (3.9563)]
[0m 0s (30 3%) 4.1529 (3.9563)]
[0m 0s (38 3%) 4.1491 (3.7407)]
[0m 0s (39 3%) 4.1406 (3.8187)]
[0m 0s (40 4%) 4.1352 (3.9236)]
[0m 0s (40 4%) 4.1352 (3.9236)]
[0m 0s (42 4%) 4.1191 (3.3353)]
[0m 0s (43 4%) 4.0929 (2.9915)]
[0m 0s (44 4%) 4.0843 (3.7115)]
[0m 0s (45 4%) 4.0706 (3.4699)]
[0m 0s (46 4%) 4.0440 (2.8466)]
[0m 0s (47 4%) 4.0399 (3.8530)]
