Matplotlib created a temporary cache directory at /var/folders/wr/3s6jwj7x0c5_0jj7bnfg14h40000gn/T/matplotlib-p3a293zp because the default path (/Users/thaha/.matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Matplotlib is building the font cache; this may take a moment.
ONLY CPU AVAILABLE
not come.
Had 
Training file_len = 1115394

-----------
|  TRAIN  |
-----------

[0m 0s (1 0%) 4.6185 (4.6185)]
[0m 0s (2 0%) 4.5878 (4.5570)]
[0m 0s (3 1%) 4.5741 (4.5467)]
[0m 0s (3 1%) 4.5741 (4.5467)]
[0m 0s (4 1%) 4.5661 (4.5423)]
[0m 0s (5 1%) 4.4502 (3.9863)]
[0m 0s (6 2%) 4.3872 (4.0720)]
[0m 0s (6 2%) 4.3872 (4.0720)]
[0m 0s (7 2%) 4.2928 (3.7270)]
[0m 0s (8 2%) 4.1909 (3.4770)]
[0m 0s (9 3%) 4.1639 (3.9482)]
[0m 0s (9 3%) 4.1639 (3.9482)]
[0m 0s (10 3%) 4.1549 (4.0741)]
[0m 0s (11 3%) 4.0759 (3.2855)]
[0m 0s (12 4%) 4.0705 (4.0108)]
[0m 0s (12 4%) 4.0705 (4.0108)]
[0m 0s (13 4%) 3.9986 (3.1363)]
[0m 0s (14 4%) 3.9339 (3.0926)]
[0m 0s (15 5%) 3.9082 (3.5482)]
[0m 0s (15 5%) 3.9082 (3.5482)]
[0m 0s (16 5%) 3.8341 (2.7227)]
[0m 0s (17 5%) 3.8296 (3.7584)]
[0m 0s (18 6%) 3.8028 (3.3461)]
[0m 0s (18 6%) 3.8028 (3.3461)]
[0m 0s (21 7%) 3.8645 (3.6818)]
[0m 0s (24 8%) 3.8142 (4.0340)]
[0m 0s (25 8%) 3.8018 (3.5039)]
[0m 0s (26 8%) 3.7964 (3.6605)]
