Matplotlib created a temporary cache directory at /var/folders/wr/3s6jwj7x0c5_0jj7bnfg14h40000gn/T/matplotlib-askujl9r because the default path (/Users/thaha/.matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Matplotlib is building the font cache; this may take a moment.
ONLY CPU AVAILABLE
mortal blessin
Training file_len = 1115394

-----------
|  TRAIN  |
-----------

[0m 0s (1 0%) 4.6174 (4.6174)]
[0m 0s (3 0%) 4.5931 (4.5398)]
[0m 0s (4 0%) 4.3798 (3.7401)]
[0m 0s (5 0%) 4.1640 (3.3009)]
[0m 0s (6 1%) 4.0263 (3.3377)]
[0m 0s (6 1%) 4.0263 (3.3377)]
[0m 0s (7 1%) 4.0196 (3.9794)]
[0m 0s (8 1%) 3.9676 (3.6036)]
[0m 0s (12 2%) 3.9572 (3.5033)]
[0m 0s (12 2%) 3.9572 (3.5033)]
[0m 0s (18 3%) 3.9824 (4.0307)]
[0m 0s (19 3%) 3.9413 (3.2010)]
[0m 0s (20 3%) 3.9001 (3.1160)]
[0m 0s (22 3%) 3.8595 (2.6877)]
[0m 0s (23 3%) 3.8286 (3.1489)]
[0m 0s (24 4%) 3.8053 (3.2691)]
[0m 0s (24 4%) 3.8053 (3.2691)]
[0m 0s (25 4%) 3.7862 (3.3269)]
[0m 0s (26 4%) 3.7811 (3.6543)]
[0m 0s (27 4%) 3.7584 (3.1677)]
[0m 0s (30 5%) 3.8255 (3.3317)]
[0m 0s (36 6%) 3.8001 (3.6204)]
[0m 0s (39 6%) 3.7438 (3.0756)]
[0m 0s (40 6%) 3.7267 (3.0599)]
[0m 0s (41 6%) 3.7086 (2.9838)]
[0m 0s (42 7%) 3.7108 (3.8022)]
[0m 0s (48 8%) 3.7297 (3.3684)]
[0m 0s (50 8%) 3.7014 (2.9162)]
