Matplotlib created a temporary cache directory at /var/folders/wr/3s6jwj7x0c5_0jj7bnfg14h40000gn/T/matplotlib-bndzyxmz because the default path (/Users/thaha/.matplotlib) is not a writable directory; it is highly recommended to set the MPLCONFIGDIR environment variable to a writable directory, in particular to speed up the import of Matplotlib and to better support multiprocessing.
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Fontconfig error: No writable cache directories
Matplotlib is building the font cache; this may take a moment.
ONLY CPU AVAILABLE
p;
And thou no
Training file_len = 1115394

-----------
|  TRAIN  |
-----------

[0m 0s (1 0%) 4.6193 (4.6193)]
[0m 0s (2 0%) 4.5772 (4.5351)]
[0m 0s (8 1%) 4.8354 (4.0239)]
[0m 0s (12 1%) 4.5198 (3.7565)]
[0m 0s (13 1%) 4.4832 (4.0441)]
[0m 0s (16 2%) 4.4916 (3.2932)]
[0m 0s (17 2%) 4.4541 (3.8543)]
[0m 1s (19 2%) 4.4470 (3.0393)]
[0m 1s (20 2%) 4.4204 (3.9157)]
[0m 1s (21 2%) 4.3766 (3.4989)]
[0m 1s (22 2%) 4.3405 (3.5830)]
[0m 1s (23 2%) 4.2911 (3.2044)]
[0m 1s (24 3%) 4.2882 (4.2217)]
[0m 1s (24 3%) 4.2882 (4.2217)]
[0m 1s (25 3%) 4.2569 (3.5055)]
[0m 1s (26 3%) 4.2403 (3.8266)]
[0m 1s (27 3%) 4.2044 (3.2690)]
[0m 1s (32 4%) 4.2142 (2.9607)]
[0m 1s (33 4%) 4.1968 (3.6402)]
[0m 1s (34 4%) 4.1740 (3.4220)]
[0m 2s (35 4%) 4.1319 (2.6999)]
[0m 2s (36 4%) 4.1117 (3.4054)]
[0m 2s (38 4%) 4.1007 (3.0697)]
[0m 2s (39 4%) 4.0749 (3.0929)]
[0m 2s (40 5%) 4.1035 (5.2213)]
[0m 2s (42 5%) 4.0642 (3.3292)]
[0m 2s (43 5%) 4.0525 (3.5594)]
[0m 2s (44 5%) 4.0267 (2.9153)]
